reference_id,source_file,available_files,entry_type,citation_key,title,authors,year,container_title,publisher,organization,volume,issue,pages,doi,doi_url,url,note,raw_reference,raw_bib
LWCite-1001,LWCite-1001.bib,LWCite-1001.bib,misc,brignoni_aleapp_adb_hosts,ALEAPP adb_hosts.py,"Brignoni, Alexis",n.d.,,,,,,,,,https://github.com/abrignoni/ALEAPP/blob/main/scripts/artifacts/adb_hosts.py,Android Logs Events And Protobuf Parser (ALEAPP) artifact script,,"@misc{brignoni_aleapp_adb_hosts, author = {Brignoni, Alexis}, title = {ALEAPP adb\_hosts.py}, year = {n.d.}, url = {https://github.com/abrignoni/ALEAPP/blob/main/scripts/artifacts/adb_hosts.py}, note = {Android Logs Events And Protobuf Parser (ALEAPP) artifact script} }"
LWCite-1002,LWCite-1002.bib,LWCite-1002.bib,article,alam2024sift,SIFT: Sifting file types—application of explainable artificial intelligence in cyber forensics,"Alam, Shahid; Demir, Alper Kamil",2024,Cybersecurity,Springer,,7,1,52,,,,,,"@article{alam2024sift, title={SIFT: Sifting file types—application of explainable artificial intelligence in cyber forensics}, author={Alam, Shahid and Demir, Alper Kamil}, journal={Cybersecurity}, volume={7}, number={1}, pages={52}, year={2024}, publisher={Springer} }"
LWCite-1003,LWCite-1003.bib,LWCite-1003.bib; LWCite-1003.txt,misc,android_adb,Android Debug Bridge (adb),Android Developers,2025,,,,,,,,,https://developer.android.com/tools/adb,Official Android developer documentation for ADB,"Android (2025), Android Debug Bridge (adb), https://developer.android.com/tools/adb","@misc{android_adb, author = {{Android Developers}}, title = {Android Debug Bridge (adb)}, year = {2025}, url = {https://developer.android.com/tools/adb}, note = {Official Android developer documentation for ADB} }"
LWCite-1004,LWCite-1004.txt,LWCite-1004.txt,web_reference,,How to Enable Android Developer Settings: Unlock your Device's Hidden Potential,Android,2025,,,,,,,,,https://www.android.com/intl/en_uk/articles/enable-android-developer-settings/,,"Android (2025), How to Enable Android Developer Settings: Unlock your Device’s Hidden Potential, https://www.android.com/intl/en_uk/articles/enable-android-developer-settings/",
LWCite-1005,LWCite-1005.txt,LWCite-1005.txt,web_reference,,View and restore past versions of documents on Mac,Apple,2025,,,,,,,,,https://support.apple.com/en-gb/guide/mac-help/mh40710/mac,,Apple (2025) View and restore past versions of documents on Mac https://support.apple.com/en-gb/guide/mac-help/mh40710/mac,
LWCite-1006,LWCite-1006.txt,LWCite-1006.txt,web_reference,,Autopsy Interesting File module,,,,,,,,,,,https://sleuthkit.org/autopsy/docs/user-docs/3.1/interesting_page.html,,"Autopsy Interesting File module, https://sleuthkit.org/autopsy/docs/user-docs/3.1/interesting_page.html",
LWCite-1007,LWCite-1007.txt,LWCite-1007.txt,web_reference,,Extension Mismatch Detector Module,Basis Technology,2015,,,,,,,,,https://sleuthkit.org/autopsy/docs/user-docs/3.1/extension_mismatch_detector_page.html,,"Basis Technology (2015), Extension Mismatch Detector Module, https://sleuthkit.org/autopsy/docs/user-docs/3.1/extension_mismatch_detector_page.html",
LWCite-1008,LWCite-1008.txt,LWCite-1008.txt,web_reference,,Reporting,Basis Technology,2019,,,,,,,,,https://sleuthkit.org/autopsy/docs/user-docs/4.12.0/reporting_page.html,,"Basis Technology 2019, Reporting, https://sleuthkit.org/autopsy/docs/user-docs/4.12.0/reporting_page.html",
LWCite-1009,LWCite-1009.txt,LWCite-1009.txt,web_reference,,Tagging,Basis Technology,2019,,,,,,,,,https://sleuthkit.org/autopsy/docs/user-docs/4.12.0/tagging_page.html,,"Basis Technology 2019, Tagging, https://sleuthkit.org/autopsy/docs/user-docs/4.12.0/tagging_page.html",
LWCite-1010,LWCite-1010.txt,LWCite-1010.txt,web_reference,,Autopsy User Documentation: Geolocation Overview,Basis Technology,2020,,,,,,,,,https://sleuthkit.org/autopsy/docs/user-docs/4.13.0/geolocation_page.html,,"Basis Technology 2020, Autopsy User Documentation: Geolocation Overview, https://sleuthkit.org/autopsy/docs/user-docs/4.13.0/geolocation_page.html",
